Image Path,Pattern
C:\xampp\htdocs\URasethetic\images\Women\cutout neckline.png,cutout neckline
C:\xampp\htdocs\URasethetic\images\Women\Deep neckline top.png,Deep neckline top
C:\xampp\htdocs\URasethetic\images\Women\deep v neck jumpsuit .png,deep v neck jumpsuit 
C:\xampp\htdocs\URasethetic\images\Women\diamond neckline .png,diamond neckline 
C:\xampp\htdocs\URasethetic\images\Women\distressed jeans .png,distressed jeans 
C:\xampp\htdocs\URasethetic\images\Women\dolman dress.png,dolman dress
C:\xampp\htdocs\URasethetic\images\Women\dolman sleeve.png,dolman sleeve
C:\xampp\htdocs\URasethetic\images\Women\draped skirt .png,draped skirt 
C:\xampp\htdocs\URasethetic\images\Women\draped sleeve .png,draped sleeve 
C:\xampp\htdocs\URasethetic\images\Women\draped top .png,draped top 
C:\xampp\htdocs\URasethetic\images\Women\draw string jumpsuit .png,draw string jumpsuit 
C:\xampp\htdocs\URasethetic\images\Women\drawstring neck dress.png,drawstring neck dress
C:\xampp\htdocs\URasethetic\images\Women\drawstring puffed sleeve.png,drawstring puffed sleeve
C:\xampp\htdocs\URasethetic\images\Women\drop shoulder sleeve .png,drop shoulder sleeve 
C:\xampp\htdocs\URasethetic\images\Women\drop waist dress.png,drop waist dress
C:\xampp\htdocs\URasethetic\images\Women\empire dress.png,empire dress
C:\xampp\htdocs\URasethetic\images\Women\empire jumpsuit .png,empire jumpsuit 
C:\xampp\htdocs\URasethetic\images\Women\empire top.png,empire top
C:\xampp\htdocs\URasethetic\images\Women\empire waist kurta.png,empire waist kurta
C:\xampp\htdocs\URasethetic\images\Women\envelope neckline .png,envelope neckline 
C:\xampp\htdocs\URasethetic\images\Women\epaulet sleeve .png,epaulet sleeve 
C:\xampp\htdocs\URasethetic\images\Women\extended cap sleeve .png,extended cap sleeve 
C:\xampp\htdocs\URasethetic\images\Women\fit and flare dress .png,fit and flare dress 
C:\xampp\htdocs\URasethetic\images\Women\fitted sleeve .png,fitted sleeve 
C:\xampp\htdocs\URasethetic\images\Women\fitted T top.png,fitted T top
C:\xampp\htdocs\URasethetic\images\Women\fitted top.png,fitted top
C:\xampp\htdocs\URasethetic\images\Women\fix box pleated skirt .png,fix box pleated skirt 
C:\xampp\htdocs\URasethetic\images\Women\flapper dress.png,flapper dress
C:\xampp\htdocs\URasethetic\images\Women\flared jeans pants.png,flared jeans pants
C:\xampp\htdocs\URasethetic\images\Women\flared jumpsuit.png,flared jumpsuit
C:\xampp\htdocs\URasethetic\images\Women\flared kurta.png,flared kurta
C:\xampp\htdocs\URasethetic\images\Women\flared sleeve .png,flared sleeve 
C:\xampp\htdocs\URasethetic\images\Women\flip skirt .png,flip skirt 
C:\xampp\htdocs\URasethetic\images\Women\Florentine neckline.png,Florentine neckline
C:\xampp\htdocs\URasethetic\images\Women\flounced skirt .png,flounced skirt 
C:\xampp\htdocs\URasethetic\images\Women\flutter sleeve .png,flutter sleeve 
C:\xampp\htdocs\URasethetic\images\Women\fluttersleeve blouson top.png,fluttersleeve blouson top
C:\xampp\htdocs\URasethetic\images\Women\formal dress.png,formal dress
C:\xampp\htdocs\URasethetic\images\Women\formal pants.png,formal pants
C:\xampp\htdocs\URasethetic\images\Women\frill sleeve .png,frill sleeve 
C:\xampp\htdocs\URasethetic\images\Women\frock style kurta.png,frock style kurta
C:\xampp\htdocs\URasethetic\images\Women\full circle skirt .png,full circle skirt 
C:\xampp\htdocs\URasethetic\images\Women\gathered neckline .png,gathered neckline 
C:\xampp\htdocs\URasethetic\images\Women\gathered neckline top.png,gathered neckline top
C:\xampp\htdocs\URasethetic\images\Women\gathered tank top.png,gathered tank top
C:\xampp\htdocs\URasethetic\images\Women\gaucho pants .png,gaucho pants 
C:\xampp\htdocs\URasethetic\images\Women\geometric print top.png,geometric print top
C:\xampp\htdocs\URasethetic\images\Women\ghagra choli .png,ghagra choli 
C:\xampp\htdocs\URasethetic\images\Women\godet skirt .png,godet skirt 
C:\xampp\htdocs\URasethetic\images\Women\gored skirt .png,gored skirt 
C:\xampp\htdocs\URasethetic\images\Women\gracian  neckline.png,gracian  neckline
C:\xampp\htdocs\URasethetic\images\Women\gracian top.png,gracian top
C:\xampp\htdocs\URasethetic\images\Women\gypsy skirt.png,gypsy skirt
C:\xampp\htdocs\URasethetic\images\Women\half saree.png,half saree
C:\xampp\htdocs\URasethetic\images\Women\halter dress.png,halter dress
C:\xampp\htdocs\URasethetic\images\Women\halter neckline .png,halter neckline 
C:\xampp\htdocs\URasethetic\images\Women\halter strap neckline .png,halter strap neckline 
C:\xampp\htdocs\URasethetic\images\Women\halter top.png,halter top
C:\xampp\htdocs\URasethetic\images\Women\halterneck jumpsuit .png,halterneck jumpsuit 
C:\xampp\htdocs\URasethetic\images\Women\handkerchief skirt .png,handkerchief skirt 
C:\xampp\htdocs\URasethetic\images\Women\hanging sleeve .png,hanging sleeve 
C:\xampp\htdocs\URasethetic\images\Women\harem pants .png,harem pants 
C:\xampp\htdocs\URasethetic\images\Women\high low dress.png,high low dress
C:\xampp\htdocs\URasethetic\images\Women\high low kurta.png,high low kurta
C:\xampp\htdocs\URasethetic\images\Women\high low top.png,high low top
C:\xampp\htdocs\URasethetic\images\Women\high neck dress.png,high neck dress
C:\xampp\htdocs\URasethetic\images\Women\high waist dress.png,high waist dress
C:\xampp\htdocs\URasethetic\images\Women\hoodie - top.png,hoodie - top
C:\xampp\htdocs\URasethetic\images\Women\horizontal stripes top.png,horizontal stripes top
C:\xampp\htdocs\URasethetic\images\Women\horse shoe neckline .png,horse shoe neckline 
C:\xampp\htdocs\URasethetic\images\Women\illusion neckline.png,illusion neckline
C:\xampp\htdocs\URasethetic\images\Women\illusion top.png,illusion top
C:\xampp\htdocs\URasethetic\images\Women\indowestern kurta.png,indowestern kurta
C:\xampp\htdocs\URasethetic\images\Women\jabot top .png,jabot top 
C:\xampp\htdocs\URasethetic\images\Women\jacket style kurta .png,jacket style kurta 
C:\xampp\htdocs\URasethetic\images\Women\jodhpurs pants.png,jodhpurs pants
C:\xampp\htdocs\URasethetic\images\Women\joggers - pants.png,joggers - pants
C:\xampp\htdocs\URasethetic\images\Women\juliet sleeve .png,juliet sleeve 
C:\xampp\htdocs\URasethetic\images\Women\jumper dress.png,jumper dress
C:\xampp\htdocs\URasethetic\images\Women\jumper top.png,jumper top
C:\xampp\htdocs\URasethetic\images\Women\kaftan kurta.png,kaftan kurta
C:\xampp\htdocs\URasethetic\images\Women\kaftan top.png,kaftan top
C:\xampp\htdocs\URasethetic\images\Women\keyhole neckline .png,keyhole neckline 
C:\xampp\htdocs\URasethetic\images\Women\keyhole top.png,keyhole top
C:\xampp\htdocs\URasethetic\images\Women\kimono sleeve .png,kimono sleeve 
C:\xampp\htdocs\URasethetic\images\Women\kimono top.png,kimono top
C:\xampp\htdocs\URasethetic\images\Women\knee length skirt.png,knee length skirt
C:\xampp\htdocs\URasethetic\images\Women\knife pleated skirt .png,knife pleated skirt 
C:\xampp\htdocs\URasethetic\images\Women\knitted vest top .png,knitted vest top 
C:\xampp\htdocs\URasethetic\images\Women\lace dress.png,lace dress
C:\xampp\htdocs\URasethetic\images\Women\lace trim neckline .png,lace trim neckline 
C:\xampp\htdocs\URasethetic\images\Women\lace trim top.png,lace trim top
C:\xampp\htdocs\URasethetic\images\Women\lace up neckline .png,lace up neckline 
C:\xampp\htdocs\URasethetic\images\Women\lantern sleeve.png,lantern sleeve
C:\xampp\htdocs\URasethetic\images\Women\layered dress.png,layered dress
C:\xampp\htdocs\URasethetic\images\Women\layered kurta .png,layered kurta 
C:\xampp\htdocs\URasethetic\images\Women\layered skirt.png,layered skirt
C:\xampp\htdocs\URasethetic\images\Women\leg o mutton sleeves .png,leg o mutton sleeves 
C:\xampp\htdocs\URasethetic\images\Women\legging - pants.png,legging - pants
C:\xampp\htdocs\URasethetic\images\Women\lehanga choli .png,lehanga choli 
C:\xampp\htdocs\URasethetic\images\Women\long sleeved dress.png,long sleeved dress
C:\xampp\htdocs\URasethetic\images\Women\lounge dress.png,lounge dress
C:\xampp\htdocs\URasethetic\images\Women\Mandarin neckline .png,Mandarin neckline 
C:\xampp\htdocs\URasethetic\images\Women\Mandarin top.png,Mandarin top
C:\xampp\htdocs\URasethetic\images\Women\maxi dress.png,maxi dress
C:\xampp\htdocs\URasethetic\images\Women\maxi skirt.png,maxi skirt
C:\xampp\htdocs\URasethetic\images\Women\melon sleeve .png,melon sleeve 
C:\xampp\htdocs\URasethetic\images\Women\mermaid skirt.png,mermaid skirt
C:\xampp\htdocs\URasethetic\images\Women\mermaid trumpet dress.png,mermaid trumpet dress
C:\xampp\htdocs\URasethetic\images\Women\micro skirt.png,micro skirt
C:\xampp\htdocs\URasethetic\images\Women\midi skirt .png,midi skirt 
C:\xampp\htdocs\URasethetic\images\Women\milkmaid top .png,milkmaid top 
C:\xampp\htdocs\URasethetic\images\Women\mini dress .png,mini dress 
C:\xampp\htdocs\URasethetic\images\Women\mini skirt .png,mini skirt 
C:\xampp\htdocs\URasethetic\images\Women\mock neckline .png,mock neckline 
C:\xampp\htdocs\URasethetic\images\Women\nipped waist dress.png,nipped waist dress
C:\xampp\htdocs\URasethetic\images\Women\off shoulder dress.png,off shoulder dress
C:\xampp\htdocs\URasethetic\images\Women\off shoulder jumpsuit .png,off shoulder jumpsuit 
C:\xampp\htdocs\URasethetic\images\Women\off shoulder neckline .png,off shoulder neckline 
C:\xampp\htdocs\URasethetic\images\Women\off shoulder sleeve .png,off shoulder sleeve 
C:\xampp\htdocs\URasethetic\images\Women\off shoulder top .png,off shoulder top 
C:\xampp\htdocs\URasethetic\images\Women\one piece dress.png,one piece dress
C:\xampp\htdocs\URasethetic\images\Women\one shoulder  neckline.png,one shoulder  neckline
C:\xampp\htdocs\URasethetic\images\Women\one shoulder crop top .png,one shoulder crop top 
C:\xampp\htdocs\URasethetic\images\Women\one shoulder dress.png,one shoulder dress
C:\xampp\htdocs\URasethetic\images\Women\one shoulder ruffle top.png,one shoulder ruffle top
C:\xampp\htdocs\URasethetic\images\Women\one shoulder top .png,one shoulder top 
C:\xampp\htdocs\URasethetic\images\Women\over sleeve.png,over sleeve
C:\xampp\htdocs\URasethetic\images\Women\overlay kurta.png,overlay kurta
C:\xampp\htdocs\URasethetic\images\Women\oversized sweatshirt - top.png,oversized sweatshirt - top
C:\xampp\htdocs\URasethetic\images\Women\oversized t shirt - top.png,oversized t shirt - top
C:\xampp\htdocs\URasethetic\images\Women\Oxford shirt - top.png,Oxford shirt - top
C:\xampp\htdocs\URasethetic\images\Women\padded shouldered sleeve .png,padded shouldered sleeve 
C:\xampp\htdocs\URasethetic\images\Women\padded shouldered top.png,padded shouldered top
C:\xampp\htdocs\URasethetic\images\Women\pagoda sleeve .png,pagoda sleeve 
C:\xampp\htdocs\URasethetic\images\Women\Pakistani kurta .png,Pakistani kurta 
C:\xampp\htdocs\URasethetic\images\Women\Palazzo kurta set.png,Palazzo kurta set
C:\xampp\htdocs\URasethetic\images\Women\Palazzo pants .png,Palazzo pants 
C:\xampp\htdocs\URasethetic\images\Women\paneled waist dress.png,paneled waist dress
C:\xampp\htdocs\URasethetic\images\Women\panelled skirt .png,panelled skirt 
C:\xampp\htdocs\URasethetic\images\Women\pant skirt .png,pant skirt 
C:\xampp\htdocs\URasethetic\images\Women\pareo skirt .png,pareo skirt 
C:\xampp\htdocs\URasethetic\images\Women\peasant sleeve .png,peasant sleeve 
C:\xampp\htdocs\URasethetic\images\Women\pegged dress.png,pegged dress
C:\xampp\htdocs\URasethetic\images\Women\pegged pants.png,pegged pants
C:\xampp\htdocs\URasethetic\images\Women\pegged skirt .png,pegged skirt 
C:\xampp\htdocs\URasethetic\images\Women\pencil skirt .png,pencil skirt 
C:\xampp\htdocs\URasethetic\images\Women\pentagon neckline .png,pentagon neckline 
C:\xampp\htdocs\URasethetic\images\Women\peplum dress .png,peplum dress 
C:\xampp\htdocs\URasethetic\images\Women\peplum jumpsuit .png,peplum jumpsuit 
C:\xampp\htdocs\URasethetic\images\Women\peplum skirt .png,peplum skirt 
C:\xampp\htdocs\URasethetic\images\Women\peplum top .png,peplum top 
C:\xampp\htdocs\URasethetic\images\Women\petal neckline .png,petal neckline 
C:\xampp\htdocs\URasethetic\images\Women\Peter Pan collar top .png,Peter Pan collar top 
C:\xampp\htdocs\URasethetic\images\Women\Peter Pan neckline .png,Peter Pan neckline 
C:\xampp\htdocs\URasethetic\images\Women\pin tuck top.png,pin tuck top
C:\xampp\htdocs\URasethetic\images\Women\placket neckline.png,placket neckline
C:\xampp\htdocs\URasethetic\images\Women\pleated dress.png,pleated dress
C:\xampp\htdocs\URasethetic\images\Women\pleated kurta .png,pleated kurta 
C:\xampp\htdocs\URasethetic\images\Women\plunging neckline .png,plunging neckline 
C:\xampp\htdocs\URasethetic\images\Women\poet sleeve .png,poet sleeve 
C:\xampp\htdocs\URasethetic\images\Women\polka dot shirt top.png,polka dot shirt top
C:\xampp\htdocs\URasethetic\images\Women\polo - top.png,polo - top
C:\xampp\htdocs\URasethetic\images\Women\pot neckline .png,pot neckline 
C:\xampp\htdocs\URasethetic\images\Women\pouf dress.png,pouf dress
C:\xampp\htdocs\URasethetic\images\Women\prairie skirt .png,prairie skirt 
C:\xampp\htdocs\URasethetic\images\Women\princess line top .png,princess line top 
C:\xampp\htdocs\URasethetic\images\Women\princess seams dress.png,princess seams dress
C:\xampp\htdocs\URasethetic\images\Women\princess vest top.png,princess vest top
C:\xampp\htdocs\URasethetic\images\Women\printed dress.png,printed dress
C:\xampp\htdocs\URasethetic\images\Women\printed floral top.png,printed floral top
C:\xampp\htdocs\URasethetic\images\Women\puff sleeves .png,puff sleeves 
C:\xampp\htdocs\URasethetic\images\Women\puritan collar neckline .png,puritan collar neckline 
C:\xampp\htdocs\URasethetic\images\Women\puritan top.png,puritan top
C:\xampp\htdocs\URasethetic\images\Women\pussy bow top.png,pussy bow top
C:\xampp\htdocs\URasethetic\images\Women\qi pao dress.png,qi pao dress
C:\xampp\htdocs\URasethetic\images\Women\queen anne neckline .png,queen anne neckline 
C:\xampp\htdocs\URasethetic\images\Women\queen anne neckline top.png,queen anne neckline top
C:\xampp\htdocs\URasethetic\images\Women\Raglan sleeve .png,Raglan sleeve 
C:\xampp\htdocs\URasethetic\images\Women\Raglan top.png,Raglan top
C:\xampp\htdocs\URasethetic\images\Women\regular sleeve.png,regular sleeve
C:\xampp\htdocs\URasethetic\images\Women\rolled up sleeve.png,rolled up sleeve
C:\xampp\htdocs\URasethetic\images\Women\round neck top .png,round neck top 
C:\xampp\htdocs\URasethetic\images\Women\round neckline.png,round neckline
C:\xampp\htdocs\URasethetic\images\Women\ruffle top.png,ruffle top
C:\xampp\htdocs\URasethetic\images\Women\ruffled jumpsuit .png,ruffled jumpsuit 
C:\xampp\htdocs\URasethetic\images\Women\ruffled neckline .png,ruffled neckline 
C:\xampp\htdocs\URasethetic\images\Women\ruffled ruched dress.png,ruffled ruched dress
C:\xampp\htdocs\URasethetic\images\Women\ruffled sleeve.png,ruffled sleeve
C:\xampp\htdocs\URasethetic\images\Women\ruffles peplum top .png,ruffles peplum top 
C:\xampp\htdocs\URasethetic\images\Women\Sabrina neckline .png,Sabrina neckline 
C:\xampp\htdocs\URasethetic\images\Women\sailor pants.png,sailor pants
C:\xampp\htdocs\URasethetic\images\Women\salwar kameez .png,salwar kameez 
C:\xampp\htdocs\URasethetic\images\Women\saree.png,saree
C:\xampp\htdocs\URasethetic\images\Women\sarong skirt .png,sarong skirt 
C:\xampp\htdocs\URasethetic\images\Women\scalloped neckline .png,scalloped neckline 
C:\xampp\htdocs\URasethetic\images\Women\scoop neck top.png,scoop neck top
C:\xampp\htdocs\URasethetic\images\Women\scoop neckline .png,scoop neckline 
C:\xampp\htdocs\URasethetic\images\Women\semi circle skirt .png,semi circle skirt 
C:\xampp\htdocs\URasethetic\images\Women\semi sweetheart neckline .png,semi sweetheart neckline 
C:\xampp\htdocs\URasethetic\images\Women\semi sweetheart top.png,semi sweetheart top
C:\xampp\htdocs\URasethetic\images\Women\set in sleeve.png,set in sleeve
C:\xampp\htdocs\URasethetic\images\Women\sheath dress.png,sheath dress
C:\xampp\htdocs\URasethetic\images\Women\sheath skirt .png,sheath skirt 
C:\xampp\htdocs\URasethetic\images\Women\shift dress.png,shift dress
C:\xampp\htdocs\URasethetic\images\Women\shirt collar crop top .png,shirt collar crop top 
C:\xampp\htdocs\URasethetic\images\Women\shirt dress .png,shirt dress 
C:\xampp\htdocs\URasethetic\images\Women\shirt dress with belt .png,shirt dress with belt 
C:\xampp\htdocs\URasethetic\images\Women\shirt style kurta .png,shirt style kurta 
C:\xampp\htdocs\URasethetic\images\Women\shirt with belt - top.png,shirt with belt - top
C:\xampp\htdocs\URasethetic\images\Women\short skirt.png,short skirt
C:\xampp\htdocs\URasethetic\images\Women\shoulder straps peplum top with waist opening top.png,shoulder straps peplum top with waist opening top
C:\xampp\htdocs\URasethetic\images\Women\skeater dress.png,skeater dress
C:\xampp\htdocs\URasethetic\images\Women\skinny jeans .png,skinny jeans 
C:\xampp\htdocs\URasethetic\images\Women\sleeveless - sleeve.png,sleeveless - sleeve
C:\xampp\htdocs\URasethetic\images\Women\sleeveless top.png,sleeveless top
C:\xampp\htdocs\URasethetic\images\Women\slip dress.png,slip dress
C:\xampp\htdocs\URasethetic\images\Women\slit dress.png,slit dress
C:\xampp\htdocs\URasethetic\images\Women\slit skirt .png,slit skirt 
C:\xampp\htdocs\URasethetic\images\Women\slit sleeve .png,slit sleeve 
C:\xampp\htdocs\URasethetic\images\Women\smock dress.png,smock dress
C:\xampp\htdocs\URasethetic\images\Women\spaghetti strap neckline .png,spaghetti strap neckline 
C:\xampp\htdocs\URasethetic\images\Women\split crew neckline .png,split crew neckline 
C:\xampp\htdocs\URasethetic\images\Women\split sweetheart neckline.png,split sweetheart neckline
C:\xampp\htdocs\URasethetic\images\Women\split sweetheart top.png,split sweetheart top
C:\xampp\htdocs\URasethetic\images\Women\square armhole fitted sleeve .png,square armhole fitted sleeve 
C:\xampp\htdocs\URasethetic\images\Women\square neckline .png,square neckline 
C:\xampp\htdocs\URasethetic\images\Women\square neckline top.png,square neckline top
C:\xampp\htdocs\URasethetic\images\Women\step neckline .png,step neckline 
C:\xampp\htdocs\URasethetic\images\Women\stir up pants.png,stir up pants
C:\xampp\htdocs\URasethetic\images\Women\straight cut kurta.png,straight cut kurta
C:\xampp\htdocs\URasethetic\images\Women\straight jeans pants.png,straight jeans pants
C:\xampp\htdocs\URasethetic\images\Women\strapless dress.png,strapless dress
C:\xampp\htdocs\URasethetic\images\Women\strapless jumpsuit .png,strapless jumpsuit 
C:\xampp\htdocs\URasethetic\images\Women\strapless neckline .png,strapless neckline 
C:\xampp\htdocs\URasethetic\images\Women\striped jumpsuit .png,striped jumpsuit 
C:\xampp\htdocs\URasethetic\images\Women\striped top .png,striped top 
C:\xampp\htdocs\URasethetic\images\Women\stripes top.png,stripes top
C:\xampp\htdocs\URasethetic\images\Women\sun dress.png,sun dress
C:\xampp\htdocs\URasethetic\images\Women\super crop top .png,super crop top 
C:\xampp\htdocs\URasethetic\images\Women\surplice neckline .png,surplice neckline 
C:\xampp\htdocs\URasethetic\images\Women\sweat pants .png,sweat pants 
C:\xampp\htdocs\URasethetic\images\Women\sweatshirt - top.png,sweatshirt - top
C:\xampp\htdocs\URasethetic\images\Women\sweatshirt dress.png,sweatshirt dress
