Image Path,Clothes,Cloth Pattern ,Gender,HOURGLASS,APPLE,PEAR,RECTANGLE ,TRIANGLE,INVERTED TRIANGLE,OVAL ,TRAPEZOID
C:\xampp\htdocs\URasethetic\images\Women\bow top .png,bow top,2,1,85,80,85,90,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\box pleated skirt.png,box pleated skirt,4,1,90,85,90,95,0,85,0,0
C:\xampp\htdocs\URasethetic\images\Women\boxy top .png,boxy top,2,1,85,80,85,90,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\bralette top.png,bralette top,2,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\bubble skirt.png,bubble skirt,4,1,95,95,90,90,0,85,0,0
C:\xampp\htdocs\URasethetic\images\Women\bush pants.png,bush pants,3,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\bust pockets top.png,bust pockets top,2,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\butterfly sleeve .png,butterfly sleeve,1,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\butterfly top.png,butterfly top,2,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\button down shirt  - top.png,button down shirt  - top,2,1,95,95,90,90,0,85,0,0
C:\xampp\htdocs\URasethetic\images\Women\buttoned straight skirt .png,buttoned straight skirt,4,1,95,95,90,90,0,85,0,0
C:\xampp\htdocs\URasethetic\images\Women\caftan dress.png,caftan dress,5,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\Camille top.png,Camille top,2,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\camisole dress.png,camisole dress,5,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\camisole top.png,camisole top,2,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\cap sleeve .png,cap sleeve,1,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\cape sleeve bardot crop top .png,cape sleeve bardot crop top,2,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\cape style kurta .png,cape style kurta,7,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\cape top.png,cape top,2,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\capri pants .png,capri pants,3,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\cargo pants .png,cargo pants,3,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\checked shirt style crop top .png,checked shirt style crop top,2,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\checked top .png,checked top,2,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\chinos pants.png,chinos pants,3,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\choker neckline .png,choker neckline,0,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\choker top.png,choker top,2,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\circular sleeve .png,circular sleeve,1,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\cold shoulder dress.png,cold shoulder dress,5,1,95,95,90,90,0,85,0,0
C:\xampp\htdocs\URasethetic\images\Women\cold shoulder neckline .png,cold shoulder neckline,0,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\cold shoulder sleeve .png,cold shoulder sleeve,1,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\cold shoulder top.png,cold shoulder top,2,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\collar neckline.png,collar neckline,0,1,90,95,90,85,0,85,0,0
C:\xampp\htdocs\URasethetic\images\Women\colour blocked crop top .png,colour blocked crop top,2,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\colour blocked dress.png,colour blocked dress,5,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\colour blocked halter neck top .png,colour blocked halter neck top,2,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\colour blocked peplum top.png,colour blocked peplum top,2,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\corset top.png,corset top,2,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\court neckline .png,court neckline,0,1,90,95,90,85,0,85,0,0
C:\xampp\htdocs\URasethetic\images\Women\cowl neck kurta.png,cowl neck kurta,7,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\cowl neck top .png,cowl neck top,2,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\cowl neckline .png,cowl neckline,0,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\cowl skirt .png,cowl skirt,4,1,95,95,90,90,0,85,0,0
C:\xampp\htdocs\URasethetic\images\Women\crew neck top .png,crew neck top,2,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\crew neckline .png,crew neckline,0,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\criss cross neck fitted .png,criss cross neck fitted,2,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\crop top .png,crop top,2,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\cropped jumpsuit .png,cropped jumpsuit,6,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\cropped shirt top.png,cropped shirt top,2,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\cross over neckline .png,cross over neckline,0,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\crossover top.png,crossover top,2,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\cuffed pants.png,cuffed pants,3,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\cuffed sleeve .png,cuffed sleeve,1,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\culottes jumpsuit .png,culottes jumpsuit,6,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\culottes pants.png,culottes pants,3,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\cut out top .png,cut out top,2,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\cutout crop top .png,cutout crop top,2,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\cutout dress.png,cutout dress,5,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\cutout jumpsuit .png,cutout jumpsuit,6,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\cutout neckline.png,cutout neckline,0,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\Deep neckline top.png,Deep neckline top,2,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\deep v neck jumpsuit .png,deep v neck jumpsuit,6,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\diamond neckline .png,diamond neckline,0,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\distressed jeans .png,distressed jeans,3,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\dolman dress.png,dolman dress,5,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\dolman sleeve.png,dolman sleeve,1,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\draped skirt .png,draped skirt,4,1,95,95,90,90,0,85,0,0
C:\xampp\htdocs\URasethetic\images\Women\draped sleeve .png,draped sleeve,1,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\draped top .png,draped top,2,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\draw string jumpsuit .png,draw string jumpsuit,6,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\drawstring neck dress.png,drawstring neck dress,5,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\drawstring puffed sleeve.png,drawstring puffed sleeve,1,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\drop shoulder sleeve .png,drop shoulder sleeve,1,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\drop waist dress.png,drop waist dress,5,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\empire dress.png,empire dress,5,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\empire jumpsuit .png,empire jumpsuit,6,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\empire top.png,empire top,2,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\empire waist kurta.png,empire waist kurta,7,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\envelope neckline .png,envelope neckline,0,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\epaulet sleeve .png,epaulet sleeve,1,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\extended cap sleeve .png,extended cap sleeve,1,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\fit and flare dress .png,fit and flare dress,5,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\fitted sleeve .png,fitted sleeve,1,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\fitted T top.png,fitted T top,2,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\fitted top.png,fitted top,2,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\fix box pleated skirt .png,fix box pleated skirt,4,1,95,95,90,90,0,85,0,0
C:\xampp\htdocs\URasethetic\images\Women\flapper dress.png,flapper dress,5,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\flared jeans pants.png,flared jeans pants,3,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\flared jumpsuit.png,flared jumpsuit,6,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\flared kurta.png,flared kurta,7,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\flared sleeve .png,flared sleeve,1,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\flip skirt .png,flip skirt,4,1,95,95,90,90,0,85,0,0
C:\xampp\htdocs\URasethetic\images\Women\Florentine neckline.png,Florentine neckline,0,1,90,90,85,85,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\flounced skirt .png,flounced skirt,4,1,95,95,90,90,0,85,0,0
C:\xampp\htdocs\URasethetic\images\Women\flutter sleeve .png,flutter sleeve,1,1,90,90,85,85,0,90,0,0
C:\xampp\htdocs\URasethetic\images\Women\fluttersleeve blouson top.png,fluttersleeve blouson top,2,1,90,90,85,85,0,90,0,0
C:\xampp\htdocs\URasethetic\images\Women\formal dress.png,formal dress,5,1,90,90,85,85,0,90,0,0
C:\xampp\htdocs\URasethetic\images\Women\formal pants.png,formal pants,3,1,90,90,85,85,0,90,0,0
C:\xampp\htdocs\URasethetic\images\Women\frill sleeve .png,frill sleeve,1,1,90,90,85,85,0,90,0,0
C:\xampp\htdocs\URasethetic\images\Women\frock style kurta.png,frock style kurta,7,1,90,90,85,85,0,90,0,0
C:\xampp\htdocs\URasethetic\images\Women\full circle skirt .png,full circle skirt,4,1,95,95,90,90,0,95,0,0
C:\xampp\htdocs\URasethetic\images\Women\gathered neckline .png,gathered neckline,0,1,90,90,85,85,0,90,0,0
C:\xampp\htdocs\URasethetic\images\Women\gathered neckline top.png,gathered neckline top,2,1,90,90,85,85,0,90,0,0
C:\xampp\htdocs\URasethetic\images\Women\gathered tank top.png,gathered tank top,2,1,90,90,85,85,0,90,0,0
C:\xampp\htdocs\URasethetic\images\Women\gaucho pants .png,gaucho pants,3,1,90,90,85,85,0,90,0,0
C:\xampp\htdocs\URasethetic\images\Women\geometric print top.png,geometric print top,2,1,90,90,85,85,0,90,0,0
C:\xampp\htdocs\URasethetic\images\Women\ghagra choli .png,ghagra choli,7,1,90,90,85,85,0,90,0,0
C:\xampp\htdocs\URasethetic\images\Women\godet skirt .png,godet skirt,4,1,95,95,90,90,0,95,0,0
C:\xampp\htdocs\URasethetic\images\Women\gored skirt .png,gored skirt,4,1,95,95,90,90,0,95,0,0
C:\xampp\htdocs\URasethetic\images\Women\gracian  neckline.png,gracian  neckline,0,1,90,90,85,85,0,90,0,0
C:\xampp\htdocs\URasethetic\images\Women\gracian top.png,gracian top,2,1,90,90,85,85,0,90,0,0
C:\xampp\htdocs\URasethetic\images\Women\gypsy skirt.png,gypsy skirt,4,1,95,95,90,90,0,95,0,0
C:\xampp\htdocs\URasethetic\images\Women\half saree.png,half saree,7,1,90,90,85,85,0,90,0,0
C:\xampp\htdocs\URasethetic\images\Women\halter dress.png,halter dress,5,1,95,95,90,90,0,95,0,0
C:\xampp\htdocs\URasethetic\images\Women\halter neckline .png,halter neckline,0,1,95,95,90,90,0,95,0,0
C:\xampp\htdocs\URasethetic\images\Women\halter strap neckline .png,halter strap neckline,0,1,95,95,90,90,0,95,0,0
C:\xampp\htdocs\URasethetic\images\Women\halter top.png,halter top,2,1,95,95,90,90,0,95,0,0
C:\xampp\htdocs\URasethetic\images\Women\halterneck jumpsuit .png,halterneck jumpsuit,6,1,90,90,85,85,0,90,0,0
C:\xampp\htdocs\URasethetic\images\Women\handkerchief skirt .png,handkerchief skirt,4,1,95,96,90,90,0,95,0,0
C:\xampp\htdocs\URasethetic\images\Women\hanging sleeve .png,hanging sleeve,1,1,90,90,85,85,0,90,0,0
C:\xampp\htdocs\URasethetic\images\Women\harem pants .png,harem pants,3,1,90,90,85,85,0,90,0,0
C:\xampp\htdocs\URasethetic\images\Women\high low dress.png,high low dress,5,1,95,95,90,90,0,95,0,0
C:\xampp\htdocs\URasethetic\images\Women\high low kurta.png,high low kurta,7,1,95,95,90,90,0,95,0,0
C:\xampp\htdocs\URasethetic\images\Women\high low top.png,high low top,2,1,90,90,85,85,0,90,0,0
C:\xampp\htdocs\URasethetic\images\Women\high neck dress.png,high neck dress,4,1,95,95,90,90,0,95,0,0
C:\xampp\htdocs\URasethetic\images\Women\high waist dress.png,high waist dress,4,1,95,95,90,90,0,95,0,0
C:\xampp\htdocs\URasethetic\images\Women\hoodie - top.png,hoodie - top,2,1,90,90,85,85,0,90,0,0
C:\xampp\htdocs\URasethetic\images\Women\horizontal stripes top.png,horizontal stripes top,2,1,90,90,85,85,0,90,0,0
C:\xampp\htdocs\URasethetic\images\Women\horse shoe neckline .png,horse shoe neckline,0,1,90,90,85,85,0,90,0,0
C:\xampp\htdocs\URasethetic\images\Women\illusion neckline.png,illusion neckline,0,1,90,90,85,85,0,90,0,0
C:\xampp\htdocs\URasethetic\images\Women\illusion top.png,illusion top,2,1,90,90,85,85,0,90,0,0
C:\xampp\htdocs\URasethetic\images\Women\indowestern kurta.png,indowestern kurta,7,1,90,90,85,85,0,90,0,0
C:\xampp\htdocs\URasethetic\images\Women\jabot top .png,jabot top,2,1,90,90,85,85,0,90,0,0
C:\xampp\htdocs\URasethetic\images\Women\jacket style kurta .png,jacket style kurta,7,1,90,90,85,85,0,90,0,0
C:\xampp\htdocs\URasethetic\images\Women\jodhpurs pants.png,jodhpurs pants,3,1,90,90,85,85,0,90,0,0
C:\xampp\htdocs\URasethetic\images\Women\joggers - pants.png,joggers - pants,3,1,90,90,85,85,0,90,0,0
C:\xampp\htdocs\URasethetic\images\Women\juliet sleeve .png,juliet sleeve,1,1,90,90,85,85,0,90,0,0
C:\xampp\htdocs\URasethetic\images\Women\jumper dress.png,jumper dress,5,1,90,90,85,85,0,90,0,0
C:\xampp\htdocs\URasethetic\images\Women\jumper top.png,jumper top,2,1,90,90,85,85,0,90,0,0
C:\xampp\htdocs\URasethetic\images\Women\kaftan kurta.png,kaftan kurta,7,1,90,90,85,85,0,90,0,0
C:\xampp\htdocs\URasethetic\images\Women\kaftan top.png,kaftan top,2,1,90,90,85,85,0,90,0,0
C:\xampp\htdocs\URasethetic\images\Women\keyhole neckline .png,keyhole neckline,0,1,90,90,85,85,0,90,0,0
C:\xampp\htdocs\URasethetic\images\Women\keyhole top.png,keyhole top,2,1,90,90,85,85,0,90,0,0
C:\xampp\htdocs\URasethetic\images\Women\kimono sleeve .png,kimono sleeve,1,1,90,90,85,85,0,90,0,0
C:\xampp\htdocs\URasethetic\images\Women\kimono top.png,kimono top,2,1,90,90,85,85,0,90,0,0
C:\xampp\htdocs\URasethetic\images\Women\knee length skirt.png,knee length skirt,4,1,95,95,90,90,0,95,0,0
C:\xampp\htdocs\URasethetic\images\Women\knife pleated skirt .png,knife pleated skirt,4,1,95,95,90,90,0,95,0,0
C:\xampp\htdocs\URasethetic\images\Women\knitted vest top .png,knitted vest top,2,1,90,90,85,85,0,90,0,0
C:\xampp\htdocs\URasethetic\images\Women\lace dress.png,lace dress,5,1,90,90,85,85,0,90,0,0
C:\xampp\htdocs\URasethetic\images\Women\lace trim neckline .png,lace trim neckline,0,1,90,90,85,85,0,90,0,0
C:\xampp\htdocs\URasethetic\images\Women\lace trim top.png,lace trim top,2,1,90,90,85,85,0,90,0,0
C:\xampp\htdocs\URasethetic\images\Women\lace up neckline .png,lace up neckline,0,1,90,90,85,85,0,90,0,0
C:\xampp\htdocs\URasethetic\images\Women\lantern sleeve.png,lantern sleeve,1,1,90,90,85,85,0,90,0,0
C:\xampp\htdocs\URasethetic\images\Women\layered dress.png,layered dress,5,1,80,80,85,70,0,75,0,0
C:\xampp\htdocs\URasethetic\images\Women\layered kurta .png,layered kurta,7,1,75,75,80,65,0,70,0,0
C:\xampp\htdocs\URasethetic\images\Women\layered skirt.png,layered skirt,4,1,75,75,80,60,0,70,0,0
C:\xampp\htdocs\URasethetic\images\Women\leg o mutton sleeves .png,leg o mutton sleeves,1,1,70,70,70,50,0,60,0,0
C:\xampp\htdocs\URasethetic\images\Women\legging - pants.png,legging - pants,3,1,90,90,90,80,0,85,0,0
C:\xampp\htdocs\URasethetic\images\Women\lehanga choli .png,lehanga choli,7,1,75,75,80,60,0,70,0,0
C:\xampp\htdocs\URasethetic\images\Women\long sleeved dress.png,long sleeved dress,2,1,85,85,85,75,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\lounge dress.png,lounge dress,2,1,80,80,80,70,0,75,0,0
C:\xampp\htdocs\URasethetic\images\Women\Mandarin neckline .png,Mandarin neckline,0,1,85,85,85,75,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\Mandarin top.png,Mandarin top,2,1,80,80,80,70,0,75,0,0
C:\xampp\htdocs\URasethetic\images\Women\maxi dress.png,maxi dress,5,1,90,90,90,80,0,85,0,0
C:\xampp\htdocs\URasethetic\images\Women\maxi skirt.png,maxi skirt,4,1,85,85,85,75,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\melon sleeve .png,melon sleeve,1,1,70,70,70,50,0,60,0,0
C:\xampp\htdocs\URasethetic\images\Women\mermaid skirt.png,mermaid skirt,4,1,75,75,80,60,0,70,0,0
C:\xampp\htdocs\URasethetic\images\Women\mermaid trumpet dress.png,mermaid trumpet dress,5,1,85,85,90,70,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\micro skirt.png,micro skirt,4,1,70,70,75,60,0,65,0,0
C:\xampp\htdocs\URasethetic\images\Women\midi skirt .png,midi skirt,4,1,80,80,85,70,0,75,0,0
C:\xampp\htdocs\URasethetic\images\Women\milkmaid top .png,milkmaid top,2,1,80,80,80,70,0,75,0,0
C:\xampp\htdocs\URasethetic\images\Women\mini dress .png,mini dress,5,1,85,85,85,75,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\mini skirt .png,mini skirt,4,1,75,75,80,65,0,70,0,0
C:\xampp\htdocs\URasethetic\images\Women\mock neckline .png,mock neckline,0,1,85,85,85,75,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\nipped waist dress.png,nipped waist dress,5,1,95,95,95,85,0,90,0,0
C:\xampp\htdocs\URasethetic\images\Women\off shoulder dress.png,off shoulder dress,5,1,85,85,85,75,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\off shoulder jumpsuit .png,off shoulder jumpsuit,6,1,90,90,90,80,0,85,0,0
C:\xampp\htdocs\URasethetic\images\Women\off shoulder neckline .png,off shoulder neckline,0,1,90,90,90,80,0,85,0,0
C:\xampp\htdocs\URasethetic\images\Women\off shoulder sleeve .png,off shoulder sleeve,1,1,80,80,80,70,0,75,0,0
C:\xampp\htdocs\URasethetic\images\Women\off shoulder top .png,off shoulder top,2,1,85,85,85,75,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\one piece dress.png,one piece dress,5,1,85,85,85,75,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\one shoulder  neckline.png,one shoulder  neckline,0,1,90,90,90,80,0,85,0,0
C:\xampp\htdocs\URasethetic\images\Women\one shoulder crop top .png,one shoulder crop top,2,1,85,85,85,75,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\one shoulder dress.png,one shoulder dress,5,1,90,90,90,80,0,85,0,0
C:\xampp\htdocs\URasethetic\images\Women\one shoulder ruffle top.png,one shoulder ruffle top,2,1,85,85,85,75,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\one shoulder top .png,one shoulder top,2,1,85,85,85,75,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\over sleeve.png,over sleeve,1,1,75,75,75,60,0,70,0,0
